username,f_name,m_name,l_name,email,state,gpa,tuition_limit,cost_preference,degree,academic_preference,distance_preference,dorm_price,SAT_math,SAT_read,SAT_write,Preferred State,Preferred Major,Preferred Degree,ACT_English,ACT_Math,ACT_Reading,ACT_Science
1,Margie,Tina,Freeman,Margie.Tina@xyz.edu,46,86,21458,1,degree_bachelors,3,2,20379,418,357,464,[10;4],NO_PREFERENCE,3,14,16,9,31
2,Wilbur,Nelson,Webster,Wilbur.Nelson@xyz.edu,2,17,42740,1,degree_bachelors,1,5,5780,338,796,496,NO_PREFERENCE,3,3,24,10,16,5
3,Mamie,Alton,Erickson,Mamie.Alton@xyz.edu,16,83,24443,4,degree_bachelors,1,1,5507,476,492,522,42,4,4,23,35,32,16
4,Alberto,Gayle,Goodwin,Alberto.Gayle@xyz.edu,9,5,18875,4,degree_bachelors,1,1,1731,332,333,589,34,NO_PREFERENCE,2,33,9,16,14
5,Rogelio,Mamie,Massey,Rogelio.Mamie@xyz.edu,9,85,8301,4,degree_associates,5,3,15293,563,678,525,NO_PREFERENCE,7,NO_PREFERENCE,19,20,10,31
6,Claudia,Juanita,Frank,Claudia.Juanita@xyz.edu,11,53,2167,1,degree_bachelors,2,5,18080,576,701,585,23,[2;5],1,10,18,33,2
7,Neil,Misty,Young,Neil.Misty@xyz.edu,49,25,10593,4,degree_bachelors,2,2,17916,327,352,220,[4;8],8,3,21,19,25,12
8,Irvin,Jason,Harmon,Irvin.Jason@xyz.edu,50,41,4814,1,degree_bachelors,4,4,17462,759,699,316,23,23,4,8,22,27,33
9,Micheal,Karen,Tucker,Micheal.Karen@xyz.edu,28,95,23516,4,degree_associates,3,1,1804,291,545,721,NO_PREFERENCE,NO_PREFERENCE,1,26,11,36,32
10,Roosevelt,Floyd,Strickland,Roosevelt.Floyd@xyz.edu,11,52,22559,1,degree_bachelors,2,3,25991,641,567,271,34,13,1,17,17,24,2
11,Randall,Ignacio,Murray,Randall.Ignacio@xyz.edu,20,20,47180,3,degree_bachelors,1,3,23106,483,212,795,1,7,NO_PREFERENCE,19,20,22,4
12,Everett,Phyllis,Holland,Everett.Phyllis@xyz.edu,16,14,49339,3,degree_associates,3,1,10332,672,359,223,2,[24;25;26],4,8,21,8,15
13,Rufus,Adam,Gutierrez,Rufus.Adam@xyz.edu,10,60,47739,3,degree_bachelors,1,4,28674,258,375,696,4,23,3,16,32,20,20
14,Nicole,Genevieve,Adkins,Nicole.Genevieve@xyz.edu,24,64,11230,4,degree_bachelors,1,4,11175,234,474,514,[5;2],NO_PREFERENCE,NO_PREFERENCE,5,15,33,29
15,Harold,Brendan,Soto,Harold.Brendan@xyz.edu,15,70,1330,3,degree_bachelors,4,2,22225,554,413,784,7,34,3,6,12,19,16
16,Eric,Essie,Cole,Eric.Essie@xyz.edu,47,86,20444,4,degree_associates,1,4,19509,391,664,481,21,[11;18;20],1,22,12,13,7
17,Leslie,Pamela,Nelson,Leslie.Pamela@xyz.edu,46,19,8066,3,degree_bachelors,5,1,3408,289,493,394,NO_PREFERENCE,23,4,12,20,26,3
18,Eileen,Dave,Bailey,Eileen.Dave@xyz.edu,36,0,40989,1,degree_bachelors,5,2,19249,446,202,649,34,10,2,24,9,4,28
19,Emilio,Edgar,Shelton,Emilio.Edgar@xyz.edu,22,90,42461,5,degree_bachelors,1,3,3716,220,305,378,23,NO_PREFERENCE,1,29,22,19,1
20,Ed,Jaime,Patton,Ed.Jaime@xyz.edu,13,39,18798,3,degree_bachelors,5,2,8480,306,790,296,12,[7;10;14],4,22,36,7,1
21,Antonio,Cameron,Drake,Antonio.Cameron@xyz.edu,41,11,3671,1,degree_associates,5,3,28627,776,723,370,NO_PREFERENCE,3,3,18,1,28,3
22,Ella,Vivian,Thornton,Ella.Vivian@xyz.edu,4,81,5730,5,degree_associates,4,2,4471,741,600,246,32,NO_PREFERENCE,3,36,24,1,30
23,Lewis,Constance,Barrett,Lewis.Constance@xyz.edu,31,31,14908,3,degree_associates,4,4,19006,386,742,740,21,5,NO_PREFERENCE,35,8,26,18
24,Claire,Miguel,Garner,Claire.Miguel@xyz.edu,48,84,37752,3,degree_bachelors,3,2,11583,300,647,688,43,7,2,26,9,1,11
25,Billie,Monica,Smith,Billie.Monica@xyz.edu,29,71,39626,1,degree_bachelors,5,3,28406,784,535,263,NO_PREFERENCE,3,NO_PREFERENCE,19,7,31,8
